name,publisher,release_date,avg_playtime,price,positive_reviews,negative_reviews
SEGA Mega Drive and Genesis Classics,SEGA,06/01/2010,17,$30.15,8.99K,1.73K
Alien Breed: Impact,Team17 Digital Ltd,06/03/2010,106,$9.99,1.22K,428
Sniper: Ghost Warrior,CI Games,06/24/2010,236,$7.99,4.37K,3.19K
The Guild II,THQ Nordic,06/24/2010,152,$9.99,552,231
LEGO Harry Potter: Years 1-4,Warner Bros. Interactive Entertainment,06/25/2010,292,$19.99,6.94K,1.01K
Arma 2: Operation Arrowhead,Bohemia Interactive,06/29/2010,279,$19.99,20.2K,1.66K
Moonbase Alpha,NASA,07/06/2010,61,$0,11.47K,1.23K
Day of Defeat: Source,Valve,07/12/2010,117,$9.99,19.13K,1.78K
Alien Swarm,Valve,07/19/2010,97,$0,19.73K,1.07K
SimCity 4 Deluxe Edition,Electronic Arts,07/20/2010,205,$19.99,6.65K,1.52K
Kane & Lynch 2: Dog Days,Square Enix,08/17/2010,77,$9.99,5.41K,3.01K
Worms Reloaded,Team17 Digital Ltd,08/26/2010,354,$19.99,4.02K,618
Victoria II,Paradox Interactive,08/30/2010,3702,$19.99,16.77K,1.38K
VVVVVV,Terry Cavanagh,09/07/2010,22,$4.99,9.02K,346
Amnesia: The Dark Descent,Frictional Games,09/08/2010,67,$19.99,30.14K,1.7K
Recettear: An Item Shop's Tale,Carpe Fulgur LLC,09/10/2010,544,$19.99,6.61K,270
Sid Meier's Civilization V,2K,09/21/2010,2683,$29.99,187.87K,7.51K
Alien Breed 2: Assault,Team17 Digital Ltd,09/22/2010,138,$9.99,647,295
Darksiders,THQ Nordic,09/23/2010,78,$19.99,10.7K,1.27K
Dead Rising 2,Capcom,09/27/2010,192,$19.99,5.3K,1.47K
Lara Croft and the Guardian of Light,Crystal Dynamics,09/28/2010,205,$9.99,3.93K,364
Medal of Honor,Electronic Arts,10/12/2010,20,$19.99,3.38K,1.4K
Medal of Honor,Electronic Arts,10/12/2010,27,$19.99,6.58K,2.25K
ArcaniA,THQ Nordic,10/15/2010,7,$19.99,1.51K,1.2K
Fallout: New Vegas,Bethesda Softworks,10/19/2010,1389,$9.99,183.22K,6.74K
Dragon Age: Origins - Ultimate Edition,Electronic Arts,10/26/2010,384,$29.99,19.75K,2.4K
STAR WARS: The Force Unleashed II,LucasArts,10/26/2010,180,$19.99,4.14K,2.47K
Call of Duty: Black Ops,Activision,11/09/2010,424,$39.99,15.12K,2.01K
Call of Duty: Black Ops,Activision,11/09/2010,520,$39.99,32.52K,3.34K
Poker Night at the Inventory,,11/22/2010,274,$0,8.16K,960
Super Meat Boy,,11/30/2010,111,$14.99,31.37K,1.76K
Bejeweled 3,"PopCap Games, Inc.",12/07/2010,540,$4.99,5.86K,246
Need For Speed: Hot Pursuit,Electronic Arts,12/14/2010,472,$0,16.34K,3.48K
EVE Online,CCP,12/15/2010,118,$0,24.25K,8.53K
Back to the Future: The Game,Telltale Games,12/23/2010,147,$0,2.02K,267
Max Payne,Rockstar Games,01/06/2011,157,$9.99,11.32K,1.32K
Magicka,Paradox Interactive,01/25/2011,271,$9.99,26.18K,3.7K
Dead Space 2,Electronic Arts,01/25/2011,110,$19.99,21.01K,1.33K
The Sims 3,Electronic Arts,01/27/2011,1934,$19.99,26.23K,3.98K
Two Worlds II HD,"Topware Interactive, ACE",02/03/2011,301,$19.99,4.02K,2.42K
Men of War: Assault Squad,Fulqrum Publishing,02/24/2011,1150,$9.99,4.08K,548
"Warhammer 40,000: Dawn of War II: Retribution",SEGA,02/28/2011,0,$29.99,10.46K,1.09K
RIFT,gamigo US Inc.,03/01/2011,509,$0,8.09K,2.81K
SpaceChem,Zachtronics,03/02/2011,138,$9.99,4.45K,382
Sonic Adventure DX,SEGA,03/04/2011,69,$7.99,12.23K,1.25K
Homefront,Deep Silver,03/14/2011,63,$19.99,7.32K,4.78K
Total War: SHOGUN 2,SEGA,03/15/2011,0,$29.99,52.93K,5.04K
Mafia II (Classic),2K,03/22/2011,942,$29.99,48.77K,2.64K
Assassin’s Creed Brotherhood,Ubisoft,03/22/2011,573,$19.99,16.93K,2.12K
Crysis 2 - Maximum Edition,Electronic Arts,03/22/2011,278,$29.99,11.3K,1.99K
LEGO Star Wars III - The Clone Wars,LucasArts,03/22/2011,434,$19.99,6.97K,384
Dungeon Siege,Square Enix,04/05/2011,305,$6.99,2.84K,668
Dino D-Day,800 North and Digital Ranch,04/08/2011,78,$9.99,12.58K,2.42K
Anomaly: Warzone Earth,11 bit studios,04/08/2011,172,$9.99,3.82K,576
Sanctum,Coffee Stain Publishing,04/15/2011,253,$9.99,2.87K,345
Portal 2,Valve,04/18/2011,439,$9.99,366.52K,4.67K
The Tiny Bang Story,Colibri Games,04/22/2011,305,$4.99,5.45K,769
Universe Sandbox Legacy,Giant Army,04/29/2011,125,$0,2.36K,553
Mount & Blade: With Fire & Sword,TaleWorlds Entertainment,05/03/2011,333,$9.99,11.38K,1.54K
Section 8: Prejudice,Atari,05/04/2011,844,$0,817,229
BEEP,Big Fat Alien,05/06/2011,170,$0,3.94K,709
BRINK,Bethesda Softworks,05/09/2011,82,$0,4.73K,2.88K
Terraria,Re-Logic,05/16/2011,11648,$9.99,1.2M,28.58K
Syberia,Microids,05/19/2011,194,$12.99,4.95K,641
Syberia II,Microids,05/19/2011,187,$12.99,2.12K,338
Frozen Synapse,Mode 7,05/26/2011,165,$24.99,2.12K,449
Red Faction: Armageddon,Deep Silver ,06/06/2011,74,$19.99,3.37K,1.26K
Jamestown,Final Form Games,06/08/2011,101,$9.99,2.16K,130
Duke Nukem Forever,2K,06/13/2011,241,$19.99,6.88K,3.17K
Spiral Knights,Grey Havens,06/14/2011,72,$0,19.49K,3.71K
Champions Online,Gearbox Publishing,06/14/2011,73,$0,2.84K,1.14K
F.E.A.R. 3,Warner Bros. Interactive Entertainment,06/21/2011,147,$19.99,8.26K,3.25K
Puzzle Agent 2,Telltale,06/30/2011,245,$4.99,870,136
ARMA: Gold Edition,Bohemia Interactive,07/13/2011,331,$9.99,899,288
E.Y.E: Divine Cybermancy,Streum On Studio,07/29/2011,290,$9.99,6.22K,1.15K
LIMBO,Playdead,08/02/2011,130,$9.99,46.49K,3.46K
ARMA: Cold War Assault,Bohemia Interactive,08/08/2011,27,$4.99,4.64K,1.21K
Space Pirates and Zombies,MinMax Games Ltd.,08/15/2011,187,$9.99,2.74K,267
Bastion,Supergiant Games,08/16/2011,88,$14.99,34.7K,1.64K
Tropico 4,Kalypso Media Digital,09/01/2011,194,$14.99,11.03K,1K
"Warhammer 40,000: Space Marine - Anniversary Edition",SEGA,09/05/2011,211,$59.99,21.72K,1.94K
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,Tripwire Interactive,09/13/2011,307,$19.99,34.02K,2.78K
The Binding of Isaac,Edmund McMillen,09/28/2011,270,$4.99,54.41K,2.72K
Supreme Commander: Forged Alliance,Square Enix,09/28/2011,810,$12.99,11.81K,391
Worms Ultimate Mayhem,Team17 Digital Ltd,09/28/2011,132,$14.99,4.64K,621
Supreme Commander,Square Enix,09/28/2011,144,$12.99,2.34K,294
RAGE,Bethesda Softworks,10/03/2011,259,$9.99,12.92K,3.78K
Orcs Must Die!,Robot Entertainment,10/11/2011,250,$9.99,7.3K,276
Might & Magic: Heroes VI,Ubisoft,10/13/2011,778,$29.99,3.98K,4.33K
Dungeon Defenders,Chromatic Games,10/18/2011,446,$14.99,15.6K,1.16K
PAYDAY The Heist,Daybreak Game Company,10/20/2011,3315,$14.99,37.02K,2.63K
Renegade Ops,SEGA,10/26/2011,228,$16.99,2.25K,393
Bloodline Champions,Stunlock Studios,10/28/2011,45,$0,1.43K,245
Lord of the Rings: War in the North,Warner Bros. Interactive Entertainment,11/01/2011,193,$0,7.33K,1.75K
DC Universe Online,Daybreak Game Company,11/02/2011,811,$0,16.04K,3.88K
Sonic Generations Collection,SEGA,11/03/2011,119,$19.99,20.88K,1.5K
Call of Duty: Modern Warfare 3 (2011),Activision,11/08/2011,0,$39.99,31.4K,4.12K
Call of Duty: Modern Warfare 3 (2011),Activision,11/08/2011,330,$39.99,21.32K,3.69K
L.A. Noire,Rockstar Games,11/08/2011,662,$19.99,26.19K,4.44K
The Elder Scrolls V: Skyrim,Bethesda Softworks,11/10/2011,4842,$14.99,298.76K,16.22K
Saints Row: The Third,Deep Silver,11/14/2011,1018,$9.99,64.51K,2.81K
Anno 2070,Ubisoft,11/17/2011,971,$19.99,7.2K,4.74K
Serious Sam 3: BFE,Devolver Digital,11/22/2011,224,$29.99,23.3K,3.08K
Cave Story+,"Nicalis, Inc.",11/22/2011,37,$14.99,6.67K,494
Assassin's Creed Revelations,Ubisoft,11/29/2011,1068,$19.99,12.83K,2.16K
Galactic Civilizations II: Ultimate Edition,Stardock Entertainment,12/02/2011,42,$19.99,1.2K,366
APB Reloaded,Little Orbit,12/06/2011,213,$0,23.32K,13.36K
EverQuest II,Daybreak Game Company,12/07/2011,167,$0,1.85K,497
Fable - The Lost Chapters,Xbox Game Studios,12/19/2011,564,$9.99,6.73K,549
Age of Empires III (2007),Xbox Game Studios,01/05/2012,318,$39.99,28.6K,2.86K
Star Trek Online,Gearbox Publishing,01/31/2012,354,$0,14.65K,3.94K
Serious Sam 2,Devolver Digital,01/31/2012,91,$9.99,10.17K,1.17K
The Darkness II,2K,02/09/2012,168,$29.99,16.93K,1.57K
Crusader Kings II,Paradox Interactive,02/14/2012,219,$0,64.31K,7.01K
Alan Wake,Remedy Entertainment,02/16/2012,207,$14.99,38.67K,3.95K
Realm of the Mad God Exalt,Deca Games,02/20/2012,117,$0,37.32K,7.51K
Fallen Earth Free2Play,Little Orbit,02/22/2012,25,$0,4.41K,3.04K
Wargame: European Escalation,Eugen Systems,02/22/2012,362,$9.99,2.48K,705
Really Big Sky,Ripstone,02/24/2012,234,$4.99,1.43K,467
Stronghold Kingdoms,FireFly Studios,02/27/2012,52,$0,5.79K,3.22K
Legend of Grimrock,Almost Human Games,04/11/2012,168,$14.99,5.63K,366
The Witcher 2: Assassins of Kings Enhanced Edition,CD PROJEKT RED,04/16/2012,339,$19.99,73.06K,8.52K
Superbrothers: Sword & Sworcery EP,Capybara Games,04/16/2012,138,$7.99,1.97K,575
The Walking Dead,Skybound Games,04/24/2012,571,$14.99,63.79K,1.84K
Risen 2: Dark Waters,THQ Nordic,04/26/2012,228,$9.99,4.69K,1.18K
